arrival time,current_floor,final_floor,selfish
08:11:31.780,7,3,0
08:11:33.800,7,3,0
08:11:35.360,5,1,0
08:11:39.940,1,6,0
08:11:40.520,3,1,0
08:11:41.560,4,1,0
08:11:43.610,4,1,0
08:11:45.110,3,5,0
08:11:46.890,4,0,0
08:11:48.210,2,7,0
08:11:53.670,4,2,0
08:11:55.120,3,0,0
08:12:00.730,1,2,0
08:12:01.540,4,5,0
08:12:04.370,4,2,0
08:12:13.370,7,2,0
08:12:15.760,5,2,0
08:12:21.700,7,2,0
08:12:29.700,2,7,0
08:12:29.920,7,0,0
08:12:33.150,2,3,0
08:12:41.470,7,4,0
08:12:48.910,0,4,0
08:12:56.220,6,7,0
08:12:57.30,7,2,0
08:13:03.40,6,4,0
08:13:04.120,7,2,0
08:13:07.820,4,0,0
08:13:16.30,4,7,0
08:13:30.320,7,0,0
08:13:36.510,6,0,0
08:13:37.270,5,6,0
08:13:38.260,6,5,0
08:13:41.700,0,5,0
08:13:44.440,7,3,0
08:13:47.140,2,4,0
08:13:47.420,5,7,0
08:13:50.610,3,6,0
08:13:51.90,5,4,0
08:13:54.600,4,3,0
08:13:55.410,7,2,0
08:14:03.40,5,2,0
08:14:03.420,1,5,0
08:14:03.660,5,3,0
08:14:25.110,1,0,0
08:14:26.100,0,1,0
08:14:32.840,4,6,0
08:14:35.670,3,2,0
08:14:36.420,7,6,0
08:14:37.450,6,5,0
08:14:41.630,7,0,0
08:14:44.100,7,1,0
08:14:53.770,6,1,0
08:14:54.540,3,0,0
08:14:58.670,4,2,0
08:14:58.950,5,4,0
08:15:06.910,1,5,0
08:15:07.250,4,5,0
08:15:19.90,0,7,0
08:15:20.120,6,0,0
08:15:20.560,3,1,0
08:15:22.150,5,0,0
08:15:23.100,5,3,0
08:15:24.280,3,2,0
08:15:24.680,1,3,0
08:15:25.810,0,1,0
08:15:26.460,7,0,0
08:15:29.150,0,2,0
08:15:31.230,1,4,0
08:15:32.460,5,3,0
08:15:36.230,4,6,0
08:15:37.60,0,1,0
08:15:44.380,2,1,0
08:15:49.790,3,0,0
08:15:51.130,5,6,0
08:15:51.460,4,2,0
08:16:00.700,3,6,0
08:16:06.560,2,1,0
08:16:08.650,7,0,0
08:16:08.740,1,5,0
08:16:08.920,1,3,0
08:16:12.650,0,5,0
08:16:21.90,1,0,0
08:16:22.520,7,4,0
08:16:28.790,2,5,0
08:16:31.820,1,2,0
08:16:38.30,6,4,0
08:16:40.440,4,0,0
08:16:40.470,7,5,0
08:16:42.260,2,6,0
08:16:42.670,7,0,0
08:16:44.480,4,5,0
08:16:54.140,5,4,0
08:16:54.860,4,6,0
08:16:56.290,3,0,0
08:17:00.560,7,2,0
08:17:03.50,0,1,0
08:17:09.160,3,0,0
08:17:14.510,3,0,0
08:17:17.320,3,1,0
08:17:19.390,3,7,0
08:17:20.130,2,0,0
08:17:21.890,3,7,0
08:17:21.980,1,0,0
08:17:24.380,0,3,0
08:17:25.870,1,4,0
08:17:28.490,0,2,0
08:17:30.50,2,4,0
08:17:30.540,3,2,0
08:17:31.20,4,3,0
08:17:33.970,2,7,0
08:17:43.30,2,4,0
08:17:43.300,7,5,0
08:17:44.10,1,7,0
08:17:48.120,5,4,0
08:17:48.480,2,5,0
08:17:48.540,1,4,0
08:17:49.780,3,1,0
08:17:52.400,6,0,0
08:17:53.50,7,3,0
08:17:54.300,0,4,0
08:17:56.00,2,3,0
08:17:58.770,7,1,0
08:18:04.120,4,3,0
08:18:04.510,7,1,0
08:18:10.860,3,0,0
08:18:10.880,5,2,0
08:18:11.890,7,6,0
08:18:12.830,4,5,0
08:18:20.640,3,7,0
08:18:20.80,5,2,0
08:18:33.670,1,3,0
08:18:42.320,0,6,0
08:18:45.150,4,1,0
08:18:45.690,1,4,0
08:18:46.170,6,7,0
08:18:52.370,1,3,0
08:18:52.760,4,6,0
08:19:00.740,4,2,0
08:19:03.60,4,6,0
08:19:03.800,6,2,0
08:19:05.130,4,0,0
08:19:07.20,3,4,0
08:19:09.40,7,1,0
08:19:10.00,5,6,0
08:19:11.40,0,3,0
08:19:16.10,2,5,0
08:19:19.360,0,1,0
08:19:23.340,0,5,0
08:19:23.590,0,4,0
08:19:31.570,6,4,0
08:19:31.720,1,6,0
08:19:35.340,5,6,0
08:19:36.300,2,6,0
08:19:38.960,3,7,0
08:19:51.690,2,7,0
08:19:57.710,0,2,0
08:20:00.440,0,3,0
08:20:02.570,2,1,0
08:20:02.760,2,3,0
08:20:08.730,6,1,0
08:20:10.750,4,3,0
08:20:16.250,6,4,0
08:20:22.110,3,6,0
08:20:22.360,7,1,0
08:20:23.420,1,3,0
08:20:25.690,7,4,0
08:20:26.810,1,0,0
08:20:26.920,7,1,0
08:20:27.90,5,6,0
08:20:31.580,6,3,0
08:20:35.830,4,2,0
08:20:44.220,4,2,0
08:20:45.430,5,0,0
08:20:46.370,5,4,0
08:20:48.120,5,4,0
08:20:48.320,7,1,0
08:20:50.720,0,4,0
08:20:56.290,2,5,0
08:20:56.780,2,4,0
08:21:04.190,5,4,0
08:21:06.780,7,5,0
08:21:12.180,1,7,0
08:21:14.490,3,4,0
08:21:14.700,2,3,0
08:21:16.370,3,1,0
08:21:17.10,5,7,0
08:21:17.70,3,2,0
08:21:19.330,3,7,0
08:21:19.670,0,6,0
08:21:19.730,0,7,0
08:21:20.800,4,0,0
08:21:25.550,3,7,0
08:21:33.580,2,0,0
08:21:34.840,4,7,0
08:21:36.300,6,5,0
08:21:39.370,6,0,0
08:21:44.670,6,2,0
08:21:45.610,4,1,0
08:21:46.500,0,4,0
08:21:50.100,3,6,0
08:21:50.340,7,4,0
08:21:50.440,7,2,0
08:22:01.810,3,1,0
08:22:04.680,5,1,0
08:22:05.380,5,6,0
08:22:05.80,0,2,0
08:22:10.400,7,2,0
08:22:13.610,0,6,0
08:22:16.390,0,6,0
08:22:16.540,1,5,0
08:22:22.820,1,5,0
08:22:23.190,3,1,0
08:22:27.860,0,6,0
08:22:27.930,0,7,0
08:22:28.910,7,0,0
08:22:28.930,6,5,0
08:22:30.850,5,1,0
08:22:33.130,4,2,0
08:22:36.350,6,1,0
08:22:38.810,2,4,0
08:22:41.450,1,7,0
08:22:41.780,5,4,0
08:22:43.970,7,4,0
08:22:44.620,7,3,0
08:22:45.150,3,6,0
08:22:45.790,4,3,0
08:22:45.980,2,7,0
08:22:47.550,0,6,0
08:22:47.600,4,5,0
08:22:48.560,0,5,0
08:22:50.840,2,1,0
08:22:54.150,3,4,0
08:22:56.950,6,4,0
08:23:03.500,5,4,0
08:23:03.530,6,1,0
08:23:05.270,7,5,0
08:23:08.340,7,4,0
08:23:11.560,6,4,0
08:23:14.770,2,1,0
08:23:24.650,4,3,0
08:23:28.90,2,1,0
08:23:29.250,6,1,0
08:23:30.220,5,4,0
08:23:33.330,5,4,0
08:23:35.630,4,2,0
08:23:37.340,5,3,0
08:23:42.910,6,1,0
08:23:48.890,3,7,0
08:23:56.250,4,0,0
08:23:57.620,1,2,0
08:24:07.120,4,0,0
08:24:08.830,5,6,0
08:24:11.860,1,5,0
08:24:12.490,1,6,0
08:24:12.920,1,2,0
08:24:14.970,4,7,0
08:24:20.960,5,1,0
08:24:23.30,1,5,0
08:24:24.330,1,6,0
08:24:24.630,3,6,0
08:24:24.70,6,2,0
08:24:31.70,0,2,0
08:24:34.320,1,3,0
08:24:34.950,3,7,0
08:24:38.570,3,1,0
08:24:39.620,7,4,0
08:24:41.440,6,1,0
08:24:44.120,4,7,0
08:24:44.870,7,4,0
08:24:48.660,2,4,0
08:24:50.710,3,5,0
08:24:51.670,7,2,0
08:24:55.120,5,2,0
08:24:56.280,1,5,0
08:25:01.520,0,2,0
08:25:04.680,2,7,0
08:25:12.60,6,7,0
08:25:16.290,2,1,0
08:25:19.180,1,3,0
08:25:19.860,5,2,0
08:25:19.920,0,2,0
08:25:20.280,1,7,0
08:25:21.520,6,2,0
08:25:26.520,1,0,0
08:25:31.10,7,0,0
08:25:34.160,0,3,0
08:25:37.150,5,2,0
08:25:40.290,0,5,0
08:25:41.70,0,5,0
08:25:45.210,4,3,0
08:25:45.470,6,1,0
08:25:45.90,7,0,0
08:25:46.800,1,2,0
08:25:53.400,5,7,0
08:26:02.720,4,0,0
08:26:04.210,6,0,0
08:26:04.860,2,0,0
08:26:09.260,4,6,0
08:26:10.280,2,3,0
08:26:10.510,0,4,0
08:26:13.330,2,3,0
08:26:14.730,4,5,0
08:26:16.140,6,3,0
08:26:17.930,1,4,0
08:26:19.860,3,1,0
08:26:21.00,0,4,0
08:26:25.490,7,2,0
08:26:27.670,2,4,0
08:26:29.80,1,5,0
08:26:31.790,4,7,0
08:26:33.580,2,1,0
08:26:36.420,7,0,0
08:26:39.820,6,2,0
08:26:49.790,5,1,0
08:26:49.860,6,3,0
08:26:53.710,3,5,0
08:26:55.400,7,1,0
08:26:55.80,4,0,0
08:27:03.230,7,4,0
08:27:03.60,0,6,0
08:27:06.180,4,3,0
08:27:06.230,7,2,0
08:27:12.890,3,5,0
08:27:17.890,0,2,0
08:27:25.50,6,7,0
08:27:25.890,5,1,0
08:27:28.300,7,5,0
08:27:34.710,7,6,0
08:27:34.780,0,2,0
08:27:41.260,7,1,0
08:27:41.720,1,7,0
08:27:42.620,7,3,0
08:27:42.660,6,1,0
08:27:49.820,4,3,0
08:27:55.250,3,6,0
08:28:02.440,1,2,0
08:28:02.770,6,4,0
08:28:03.920,2,3,0
08:28:11.640,7,0,0
08:28:17.760,1,6,0
08:28:24.160,0,7,0
08:28:28.770,0,5,0
08:28:34.470,2,5,0
08:28:35.10,2,1,0
08:28:37.330,3,7,0
08:28:38.760,0,7,0
08:28:41.60,6,5,0
08:28:46.370,5,6,0
08:28:48.900,2,4,0
08:28:49.370,6,5,0
08:28:50.200,4,1,0
08:28:53.10,3,7,0
08:28:53.570,3,5,0
08:28:54.960,4,3,0
08:28:56.850,3,1,0
08:29:06.750,7,5,0
08:29:10.410,5,0,0
08:29:14.50,0,3,0
08:29:17.340,1,6,0
08:29:22.730,0,1,0
08:29:23.680,5,6,0
08:29:23.970,1,5,0
08:29:26.670,2,3,0
08:29:35.50,1,6,0
08:29:36.10,7,5,0
08:29:38.60,7,6,0
08:29:38.980,5,0,0
08:29:40.110,3,1,0
08:29:40.700,0,5,0
08:29:46.320,1,3,0
08:29:49.760,1,3,0
08:29:49.890,7,3,0
08:29:58.280,4,5,0
08:30:06.360,5,2,0
08:30:08.300,5,3,0
08:30:11.460,0,1,0
08:30:13.190,7,4,0
08:30:15.190,5,2,0
08:30:15.860,7,4,0
08:30:19.270,6,7,0
08:30:19.270,0,3,0
08:30:26.520,2,6,0
08:30:27.570,0,5,0
08:30:28.630,1,0,0
08:30:30.520,4,5,0
08:30:34.130,7,4,0
08:30:35.940,2,7,0
08:30:36.190,0,6,0
08:30:40.220,3,1,0
08:30:43.520,3,0,0
08:30:46.540,7,1,0
08:30:52.20,6,1,0
08:31:10.110,1,5,0
08:31:21.770,4,7,0
08:31:24.70,2,0,0
08:31:25.140,3,5,0
08:31:25.290,6,3,0
08:31:27.840,1,5,0
08:31:30.70,5,3,0
08:31:30.800,1,6,0
08:31:31.230,1,5,0
08:31:34.470,5,2,0
08:31:35.970,7,3,0
08:31:43.900,4,1,0
08:31:44.440,4,1,0
08:31:48.930,3,6,0
08:31:51.690,3,4,0
08:31:52.600,7,6,0
08:31:55.370,0,1,0
08:31:56.00,0,7,0
08:31:58.460,6,7,0
08:32:00.90,4,3,0
08:32:02.450,5,3,0
08:32:04.50,2,6,0
08:32:05.450,1,2,0
08:32:07.520,5,3,0
08:32:12.930,0,3,0
08:32:26.400,2,7,0
08:32:26.800,6,2,0
08:32:27.60,1,6,0
08:32:28.290,6,2,0
08:32:30.760,0,2,0
08:32:38.390,7,5,0
08:32:38.690,6,2,0
08:32:41.660,5,2,0
08:32:42.240,5,1,0
08:32:42.900,6,2,0
08:32:47.430,2,7,0
08:32:49.170,3,7,0
08:32:55.710,2,7,0
08:32:56.870,3,2,0
08:33:03.50,3,1,0
08:33:10.80,7,2,0
08:33:12.640,0,5,0
08:33:12.870,5,4,0
08:33:14.840,0,6,0
08:33:19.500,6,5,0
08:33:24.940,7,2,0
08:33:26.520,6,0,0
08:33:27.930,6,4,0
08:33:30.310,4,6,0
08:33:31.20,0,2,0
08:33:35.270,7,6,0
08:33:36.290,6,7,0
08:33:39.240,3,2,0
08:33:40.280,0,3,0
08:33:41.300,7,6,0
08:33:41.710,2,3,0
08:33:42.490,6,0,0
08:33:42.940,2,0,0
08:33:43.300,3,5,0
08:33:44.820,0,6,0
08:33:44.880,3,7,0
08:33:46.960,6,2,0
08:33:56.680,7,6,0
08:33:57.510,1,3,0
08:34:03.690,1,6,0
08:34:06.980,7,5,0
08:34:07.40,1,7,0
08:34:09.580,0,6,0
08:34:11.160,4,3,0
08:34:11.460,5,2,0
08:34:11.900,4,3,0
08:34:13.00,3,0,0
08:34:13.320,3,0,0
08:34:14.700,4,2,0
08:34:15.470,2,5,0
08:34:16.310,0,6,0
08:34:18.680,2,4,0
08:34:20.340,4,5,0
08:34:21.100,4,3,0
08:34:22.220,6,7,0
08:34:22.30,5,6,0
08:34:23.40,4,5,0
08:34:26.540,4,6,0
08:34:26.890,7,5,0
08:34:28.20,7,3,0
08:34:34.220,1,7,0
08:34:35.690,0,2,0
08:34:45.510,6,5,0
08:34:47.440,0,1,0
08:34:47.590,2,4,0
08:34:57.210,0,4,0
08:34:58.650,6,3,0
08:35:03.320,1,0,0
08:35:07.400,1,0,0
08:35:07.540,3,2,0
08:35:12.120,5,2,0
08:35:14.920,2,4,0
08:35:18.160,3,5,0
08:35:19.450,5,3,0
08:35:29.530,0,5,0
08:35:31.250,2,6,0
08:35:35.170,3,7,0
08:35:37.120,7,3,0
08:35:38.770,4,3,0
08:35:38.960,7,6,0
08:35:45.480,3,5,0
08:35:48.500,3,1,0
08:35:51.520,3,5,0
08:35:51.680,4,3,0
08:35:52.100,2,4,0
08:35:52.780,0,1,0
08:35:54.620,3,6,0
08:35:54.820,2,1,0
08:35:56.170,7,4,0
08:35:56.280,6,0,0
08:36:07.650,3,4,0
08:36:07.710,0,7,0
08:36:08.760,6,2,0
08:36:11.940,3,7,0
08:36:19.590,0,6,0
08:36:23.360,2,4,0
08:36:28.180,7,1,0
08:36:28.720,5,2,0
08:36:32.20,3,1,0
08:36:35.300,5,7,0
08:36:37.780,1,2,0
08:36:38.590,3,2,0
08:36:38.860,4,7,0
08:36:39.240,3,1,0
08:36:40.870,6,7,0
08:36:44.910,2,1,0
08:36:46.480,2,6,0
08:36:48.410,7,2,0
08:36:52.880,5,2,0
08:36:53.230,4,1,0
08:36:53.970,4,3,0
08:36:55.70,1,6,0
08:36:57.390,7,1,0
08:37:04.160,6,4,0
08:37:04.260,6,7,0
08:37:05.370,1,5,0
08:37:06.750,5,0,0
08:37:15.340,0,5,0
08:37:16.100,2,0,0
08:37:17.470,6,7,0
08:37:22.170,2,3,0
08:37:23.430,1,5,0
08:37:25.400,5,0,0
08:37:25.90,7,2,0
08:37:28.170,5,6,0
08:37:34.970,7,5,0
08:37:35.230,1,7,0
08:37:38.960,6,2,0
08:37:43.920,7,2,0
08:37:45.260,2,6,0
08:37:46.880,2,5,0
08:37:47.770,2,6,0
08:37:47.980,3,6,0
08:37:50.490,5,0,0
08:37:53.210,1,0,0
08:37:54.700,5,6,0
08:37:56.90,3,2,0
08:37:58.780,0,2,0
08:38:00.660,1,4,0
08:38:07.510,3,7,0
08:38:15.910,0,1,0
08:38:16.290,2,3,0
08:38:16.940,4,7,0
08:38:22.860,4,0,0
08:38:26.80,5,2,0
08:38:32.810,7,1,0
08:38:35.350,0,6,0
08:38:36.570,0,1,0
08:38:37.360,6,5,0
08:38:39.520,5,1,0
08:38:44.430,3,1,0
08:38:55.650,7,6,0
08:39:09.860,0,2,0
08:39:10.630,5,6,0
08:39:12.570,2,5,0
08:39:14.520,6,2,0
08:39:18.100,4,1,0
08:39:18.30,6,1,0
08:39:21.180,3,1,0
08:39:22.70,6,3,0
08:39:23.500,0,3,0
08:39:24.10,0,3,0
08:39:26.410,0,6,0
08:39:28.960,6,0,0
08:39:30.130,7,3,0
08:39:35.00,6,1,0
08:39:36.190,0,7,0
08:39:38.270,0,2,0
08:39:42.140,5,1,0
08:39:42.620,3,7,0
08:39:44.220,1,6,0
08:39:46.110,2,7,0
08:39:50.760,0,7,0
08:39:51.970,1,6,0
08:39:58.280,4,7,0
08:40:06.570,2,6,0
08:40:07.210,2,1,0
08:40:12.870,0,1,0
08:40:14.340,1,5,0
08:40:18.820,7,0,0
08:40:34.790,7,6,0
08:40:36.770,5,1,0
08:40:37.510,7,4,0
08:40:39.130,1,4,0
08:40:55.350,5,2,0
08:40:57.580,7,0,0
08:41:00.950,7,2,0
08:41:07.940,2,5,0
08:41:07.980,6,7,0
08:41:14.620,3,7,0
08:41:16.230,0,2,0
08:41:18.50,0,3,0
08:41:20.650,0,2,0
08:41:21.600,7,4,0
08:41:27.190,2,1,0
08:41:30.150,6,0,0
08:41:31.290,2,4,0
08:41:45.540,0,4,0
08:41:46.530,1,3,0
08:41:46.70,5,6,0
08:41:47.390,6,3,0
08:41:47.980,2,5,0
08:41:54.970,6,5,0
08:41:56.140,2,0,0
08:42:02.150,3,6,0
08:42:02.700,3,1,0
08:42:04.980,4,0,0
08:42:11.900,4,6,0
08:42:12.780,1,3,0
08:42:18.700,4,5,0
08:42:21.410,4,5,0
08:42:25.930,6,5,0
08:42:32.160,3,4,0
08:42:35.580,4,7,0
08:42:36.280,0,5,0
08:42:36.770,2,7,0
08:42:36.980,2,5,0
08:42:38.300,0,5,0
08:42:41.60,0,7,0
08:42:45.930,3,1,0
08:42:46.480,5,2,0
08:42:47.620,1,7,0
08:42:47.950,0,2,0
08:42:48.840,2,1,0
08:42:50.660,5,0,0
08:42:53.480,6,4,0
08:42:55.340,5,6,0
08:42:56.790,3,0,0
08:43:04.150,4,6,0
08:43:05.510,7,1,0
08:43:07.540,1,2,0
08:43:08.60,2,0,0
08:43:13.210,5,1,0
08:43:16.980,1,7,0
08:43:17.560,4,1,0
08:43:19.160,7,3,0
08:43:19.850,0,3,0
08:43:22.00,2,0,0
08:43:23.640,0,3,0
08:43:26.280,3,5,0
08:43:50.620,0,4,0
08:43:54.120,4,6,0
08:43:55.410,7,3,0
08:43:55.930,4,6,0
08:43:56.450,1,4,0
08:43:58.450,6,2,0
08:44:10.90,1,5,0
08:44:11.530,3,4,0
08:44:13.510,5,6,0
08:44:18.580,2,1,0
08:44:19.910,2,0,0
08:44:21.970,2,4,0
08:44:28.280,0,6,0
08:44:28.920,5,0,0
08:44:29.600,2,5,0
08:44:32.810,5,3,0
08:44:35.180,7,2,0
08:44:35.330,6,2,0
08:44:35.390,4,0,0
08:44:40.650,3,6,0
08:44:41.180,5,6,0
08:44:44.150,0,4,0
08:44:46.00,0,4,0
08:44:50.110,4,3,0
08:44:52.420,0,5,0
08:44:53.100,1,5,0
08:44:53.160,7,5,0
08:44:54.630,5,6,0
08:44:57.250,6,7,0
08:45:02.630,5,4,0
08:45:07.210,0,1,0
08:45:10.730,0,4,0
08:45:18.780,1,0,0
08:45:23.740,1,7,0
08:45:28.230,3,6,0
08:45:30.750,2,6,0
08:45:40.130,7,1,0
08:45:42.100,0,5,0
08:45:42.130,7,1,0
08:45:46.470,1,3,0
08:45:46.90,3,7,0
08:45:49.580,1,0,0
08:45:55.450,1,3,0
08:46:02.350,6,1,0
08:46:12.940,4,7,0
08:46:15.340,6,3,0
08:46:15.40,2,3,0
08:46:20.330,3,6,0
08:46:26.150,2,5,0
08:46:30.380,3,4,0
08:46:35.690,3,1,0
08:46:36.00,1,2,0
08:46:37.330,4,0,0
08:46:39.690,1,3,0
08:46:43.870,1,3,0
08:46:43.90,7,4,0
08:46:48.890,4,0,0
08:46:51.520,1,2,0
08:46:56.650,3,6,0
08:46:57.560,5,0,0
08:46:58.290,4,3,0
08:47:03.290,3,5,0
08:47:03.900,6,7,0
08:47:04.160,6,5,0
08:47:05.950,6,4,0
08:47:11.650,4,5,0
08:47:12.640,4,1,0
08:47:12.840,3,6,0
08:47:14.170,2,4,0
08:47:21.590,2,1,0
08:47:22.790,5,0,0
08:47:23.160,2,7,0
08:47:25.240,0,7,0
08:47:25.930,3,6,0
08:47:26.570,4,6,0
08:47:27.80,3,4,0
08:47:28.130,4,0,0
08:47:33.790,7,5,0
08:47:36.820,3,2,0
08:47:39.260,2,3,0
08:47:39.680,1,5,0
08:47:44.710,1,5,0
08:47:53.430,1,6,0
08:47:53.440,4,6,0
08:47:56.30,3,6,0
08:48:02.700,3,2,0
08:48:03.160,1,6,0
08:48:13.600,5,2,0
08:48:15.790,6,4,0
08:48:17.650,0,6,0
08:48:19.50,5,1,0
08:48:24.250,2,1,0
08:48:24.530,4,7,0
08:48:25.980,7,4,0
